nivel|columna|fila|dimension|estadoDeLuz
N C F D V
1 A 1 5 O
1 A 2 5 O
1 A 3 5 .
1 A 4 5 O
1 A 5 5 O
1 B 1 5 O
1 B 2 5 .
1 B 3 5 O
1 B 4 5 .
1 B 5 5 O
1 C 1 5 .
1 C 2 5 O
1 C 3 5 O
1 C 4 5 O
1 C 5 5 .
1 D 1 5 O
1 D 2 5 .
1 D 3 5 O
1 D 4 5 .
1 D 5 5 O
1 E 1 5 O
1 E 2 5 O
1 E 3 5 .
1 E 4 5 O
1 E 5 5 O
2 A 1 5 .
2 A 2 5 O
2 A 3 5 .
2 A 4 5 O
2 A 5 5 O
2 B 1 5 O
2 B 2 5 O
2 B 3 5 O
2 B 4 5 .
2 B 5 5 .
2 C 1 5 .
2 C 2 5 .
2 C 3 5 .
2 C 4 5 O
2 C 5 5 O
2 D 1 5 O
2 D 2 5 O
2 D 3 5 O
2 D 4 5 .
2 D 5 5 .
2 E 1 5 .
2 E 2 5 O
2 E 3 5 .
2 E 4 5 O
2 E 5 5 O
3 A 1 5 O
3 A 2 5 O
3 A 3 5 .
3 A 4 5 O
3 A 5 5 O
3 B 1 5 .
3 B 2 5 O
3 B 3 5 .
3 B 4 5 .
3 B 5 5 .
3 C 1 5 .
3 C 2 5 .
3 C 3 5 O
3 C 4 5 O
3 C 5 5 O
3 D 1 5 .
3 D 2 5 O
3 D 3 5 .
3 D 4 5 .
3 D 5 5 O
3 E 1 5 O
3 E 2 5 O
3 E 3 5 .
3 E 4 5 .
3 E 5 5 .
4 A 1 5 O
4 A 2 5 .
4 A 3 5 O
4 A 4 5 .
4 A 5 5 O
4 B 1 5 O
4 B 2 5 .
4 B 3 5 O
4 B 4 5 .
4 B 5 5 O
4 C 1 5 .
4 C 2 5 .
4 C 3 5 .
4 C 4 5 .
4 C 5 5 .
4 D 1 5 O
4 D 2 5 .
4 D 3 5 O
4 D 4 5 .
4 D 5 5 .
4 E 1 5 O
4 E 2 5 .
4 E 3 5 O
4 E 4 5 O
4 E 5 5 .
5 A 1 5 .
5 A 2 5 .
5 A 3 5 .
5 A 4 5 O
5 A 5 5 O
5 B 1 5 .
5 B 2 5 .
5 B 3 5 .
5 B 4 5 O
5 B 5 5 O
5 C 1 5 .
5 C 2 5 .
5 C 3 5 .
5 C 4 5 .
5 C 5 5 .
5 D 1 5 O
5 D 2 5 O
5 D 3 5 .
5 D 4 5 .
5 D 5 5 .
5 E 1 5 O
5 E 2 5 O
5 E 3 5 .
5 E 4 5 .
5 E 5 5 .
